,car,price,specs
1983,BMW X5,"£45,125","2018
•
27,665 miles
•
Diesel
•
Automatic"
1984,BMW M3,"£45,025","2017
•
16,685 miles
•
Petrol
•
Automatic"
1985,BMW M4,"£43,950
 was £45,450","2018
•
13,455 miles
•
Petrol
•
Automatic"
1986,BMW X3,"£43,325
 was £44,275","2019
•
16,557 miles
•
Diesel
•
Automatic"
1987,BMW X5,"£43,125
 was £44,150","2018
•
30,564 miles
•
Diesel
•
Automatic"
1988,BMW X3,"£42,900
 was £44,000","2019
•
21,905 miles
•
Petrol
•
Automatic"
1989,BMW X5,"£42,375","2017
•
25,391 miles
•
Diesel
•
Automatic"
1990,BMW M4,"£42,150
 was £42,550","2017
•
2,933 miles
•
Petrol
•
Automatic"
1991,BMW X3,"£40,950
 was £42,025","2019
•
21,265 miles
•
Diesel
•
Automatic"
1992,BMW Z4,"£40,925
 was £42,875","2019
•
6,311 miles
•
Petrol
•
Automatic"
1993,BMW X3,"£40,600
 was £41,725","2019
•
19,479 miles
•
Petrol
•
Automatic"
1994,BMW X5,"£40,500
 was £40,575","2018
•
25,514 miles
•
Diesel
•
Automatic"
1995,BMW X4,"£40,150","2018
•
35,725 miles
•
Diesel
•
Automatic"
1996,BMW X3,"£40,050
 was £40,975","2019
•
26,069 miles
•
Diesel
•
Automatic"
1997,BMW 3 Series,"£39,825
 was £39,925","2019
•
9,429 miles
•
Petrol
•
Automatic"
1998,BMW 5 Series,"£39,000
 was £40,275","2018
•
12,629 miles
•
Petrol
•
Automatic"
1999,BMW X5,"£38,225","2017
•
24,967 miles
•
Diesel
•
Automatic"
2000,BMW X4,"£38,025","2019
•
13,680 miles
•
Diesel
•
Automatic"
2001,BMW X6,"£37,775","2018
•
22,736 miles
•
Diesel
•
Automatic"
2002,BMW M2,"£37,750
 was £38,075","2018
•
14,997 miles
•
Petrol
•
Manual"
2003,BMW X5,"£37,675
 was £38,000","2018
•
42,959 miles
•
Plug_in_hybrid
•
Automatic"
2004,BMW X3,"£37,025
 was £38,225","2018
•
40,229 miles
•
Petrol
•
Automatic"
2005,BMW X5,"£36,800
 was £37,625","2017
•
29,630 miles
•
Diesel
•
Automatic"
2006,BMW X3,"£36,600
 was £38,675","2019
•
12,490 miles
•
Diesel
•
Automatic"
2007,BMW X3,"£36,525
 was £38,025","2019
•
17,916 miles
•
Diesel
•
Automatic"
2008,BMW X3,"£35,875","2019
•
7,824 miles
•
Diesel
•
Automatic"
2009,BMW X3,"£35,850
 was £37,050","2019
•
9,645 miles
•
Diesel
•
Automatic"
2010,BMW X3,"£35,725
 was £37,350","2020
•
14,835 miles
•
Diesel
•
Automatic"
2011,BMW X3,"£35,450
 was £37,100","2018
•
16,168 miles
•
Diesel
•
Automatic"
2012,BMW X3,"£35,250
 was £36,750","2019
•
12,852 miles
•
Diesel
•
Automatic"
2013,BMW X5,"£35,225","2017
•
48,164 miles
•
Diesel
•
Automatic"
2014,BMW 5 Series,"£35,175","2020
•
12,588 miles
•
Hybrid
•
Automatic"
2015,BMW X3,"£34,825
 was £35,650","2019
•
34,776 miles
•
Diesel
•
Automatic"
2016,BMW 1 Series,"£34,625","2020
•
2,268 miles
•
Petrol
•
Automatic"
2017,BMW X5,"£34,300","2016
•
20,582 miles
•
Diesel
•
Automatic"
2018,BMW M2,"£34,275","2017
•
23,057 miles
•
Petrol
•
Automatic"
2019,BMW 1 Series,"£34,275","2020
•
3,234 miles
•
Petrol
•
Automatic"
2020,BMW X1,"£34,000","2020
•
7,478 miles
•
Diesel
•
Automatic"
2021,BMW 6 Series Gran Turismo,"£33,875","2018
•
24,157 miles
•
Diesel
•
Automatic"
2022,BMW X4,"£33,775","2018
•
37,357 miles
•
Diesel
•
Automatic"
2023,BMW X3,"£33,650","2019
•
15,856 miles
•
Diesel
•
Automatic"
2024,BMW 3 Series,"£33,575
 was £34,000","2020
•
6,793 miles
•
Plug_in_hybrid
•
Automatic"
2025,BMW 1 Series,"£33,500
 was £34,400","2020
•
11,286 miles
•
Petrol
•
Automatic"
2026,BMW Z4,"£33,400","2019
•
9,827 miles
•
Petrol
•
Automatic"
2027,BMW 5 Series,"£33,275","2017
•
13,234 miles
•
Petrol
•
Automatic"
2028,BMW 3 Series,"£33,075","2020
•
7,968 miles
•
Petrol
•
Automatic"
2029,BMW 1 Series,"£32,975
 was £33,800","2020
•
6,970 miles
•
Petrol
•
Automatic"
2030,BMW 1 Series,"£32,975
 was £33,900","2020
•
8,371 miles
•
Petrol
•
Automatic"
